,GeoAreaName,Time_Detail,BOTHSEX.SKILL_READ.GRAD23,BOTHSEX.SKILL_READ.LOWSEC,FEMALE.SKILL_MATH.GRAD23,FEMALE.SKILL_MATH.LOWSEC,MALE.SKILL_MATH.GRAD23,BOTHSEX.SKILL_MATH.PRIMAR,MALE.SKILL_READ.GRAD23,MALE.SKILL_MATH.LOWSEC,FEMALE.SKILL_READ.LOWSEC,BOTHSEX.SKILL_READ.PRIMAR,FEMALE.SKILL_READ.GRAD23,BOTHSEX.SKILL_MATH.LOWSEC,MALE.SKILL_READ.PRIMAR,FEMALE.SKILL_READ.PRIMAR,BOTHSEX.SKILL_MATH.GRAD23,MALE.SKILL_MATH.PRIMAR,MALE.SKILL_READ.LOWSEC,FEMALE.SKILL_MATH.PRIMAR
20,China,2016,81.8,79.6,72.29942886467164,61.9526925354706,71.26033900841927,57.507697942600295,76.65886337632337,62.275234670341696,87.58,52.643248973010735,84.89293975458743,62.158422670785875,50.18082305506434,55.10901062841747,71.80079597239343,60.90887993339413,74.24333333333334,54.11056320780454
21,Colombia,2006,71.45523123768349,44.297473827727394,51.58978696920361,23.48,54.4243373575807,38.0543485065204,70.18917962841189,33.5,46.52,48.1911587710108,73.5031039539976,28.103804728578897,49.1107166812358,47.392490279148,52.826723877916606,42.4127556560635,41.7,34.4180932710699
22,Colombia,2013,78.9920704033332,63.27809706563607,64.7725706196671,47.67333333333334,64.1892310353591,47.670221790834894,76.2944594623358,51.59,61.36000000000001,55.273742013390006,81.6080897818822,49.59380211472956,54.0973698063912,56.64904584384129,64.486330941283,52.5274003295716,47.46666666666667,42.0795222663579
23,Congo,2014,38.48,38.0448334245869,71.02,38.53666666666667,72.96,5.9,38.3,46.19,41.67333333333334,17.1,38.67,42.36407984090773,16.08,18.06,72.0,22.96666666666667,34.876666666666665,17.883333333333333
24,Costa Rica,2006,88.1392844322125,74.71912101826013,71.0304858685297,73.25666666666666,75.2521371626165,62.651503016712,87.34984428296009,74.58999999999999,81.37,71.3273178675352,89.20592193808879,73.91730518863847,71.2184813131459,71.2749971101607,72.942992533027,67.0060640248202,68.08999999999999,57.850286801372
25,Costa Rica,2013,89.2775922968984,74.71912101826014,83.96657605959929,73.25666666666667,84.72692751572909,60.0914292231367,87.40200104532221,74.59,81.36999999999999,68.2953487045943,91.2967465787834,73.91730518863847,67.1593667354998,69.5493081660401,84.3616702293325,63.2080377372507,68.08999999999999,56.8247294245893
26,Cuba,2006,92.96199671475608,80.290074883196,90.0032421917216,80.61,87.62691175414659,77.4552164911333,91.51174975954979,80.13333333333334,87.45666666666666,74.8812890545883,94.50834478393111,80.3665418238938,72.09983409074509,77.88634409442659,88.7216536223159,76.2519285395008,73.3,78.7720423714228
27,Cyprus,2001,86.756844695821,57.1160191629119,56.88511973921246,59.81,57.43065279641604,57.8835236845527,83.594500457608,62.23333333333333,64.42666666666666,67.08145767527456,90.1256294240113,61.0144194306709,66.45035232823554,67.986424207805,57.074720229259064,61.0648256135673,49.949999999999996,54.62831890562497
28,Czechia,2001,97.2700246299243,80.77678729126406,75.90023921455527,80.13303253594476,77.39664805435184,68.07642678844826,96.57942814522579,81.59469250184874,86.35666666666667,70.97259967171652,97.99281046519621,80.87574497550234,68.69225796727477,73.45903351888636,76.65197050407447,67.3799916980754,75.23333333333333,68.8193781094737
29,Czechia,2011,98.2507899128277,78.49689291444953,69.2803571182731,78.48333333333333,74.1540281026723,58.983368548446094,97.9271146172439,80.30333333333334,84.35666666666667,67.08145767527456,98.5671546645261,79.3983930061546,66.45035232823552,67.986424207805,71.7926603577388,60.54430795712219,72.73666666666666,57.278844859336736
